episode,avg_throughput,avg_fairness,avg_se,avg_pe,avg_su
0,32.33916297912596,0.6649453783035278,4.528625583648682,6.353209568032982e-07,2.974750046730041
1,28.617879915237417,0.6717223718762398,4.122333371639252,5.371403466369883e-07,2.704114937782288
2,30.22882398605346,0.6024671047925949,4.311515030860899,4.849102094794944e-07,2.819513173103333
3,34.85048725128172,0.7608766365051273,4.787041537761688,6.088861653097408e-07,3.0235720205307
4,34.490821990966786,0.67069074511528,4.749923877716065,7.069438606777114e-07,3.0362779545783996
5,33.416000633239726,0.6802195310592651,4.639529359340669,5.417714868372062e-07,2.952413339614868
6,30.902227859497057,0.6461673977971079,4.380719707012178,6.102421923515068e-07,2.751605980396271
7,34.84841220855713,0.6413242679834367,4.7867058801650995,6.074732334582224e-07,2.941488819122313
8,33.0555612182617,0.6951937621831893,4.602246401309968,6.901966997929774e-07,2.967841544151306
9,28.975856056213367,0.6607798615098,4.159025535583497,6.008415846281424e-07,2.637432007789612
10,35.56779053688049,0.7358253604173661,4.8608141398429865,5.871381904398733e-07,2.9921981763839716
11,31.251175308227527,0.6394222235679626,4.4048370003700255,6.445084488859722e-07,2.744414541721343
12,32.54359462738036,0.6532063633203504,4.537930507659913,5.599829819402657e-07,2.822841490507125
13,35.17312564849852,0.7828909748792646,4.820171670913696,6.271061624829602e-07,2.9838910436630237
14,28.548958277702322,0.6293519166111946,4.103196001052856,5.184432984606247e-07,2.708115724921227
15,34.42372535705566,0.7803733491897585,4.73142170906067,5.646862496178075e-07,2.86704573392868
16,37.36170639038085,0.690978076457977,5.045454058647154,4.919170720540931e-07,3.108890089988707
17,31.195450401306136,0.6180668216943741,4.399144287109374,6.662991279426931e-07,2.7917321610450743
18,34.0604560470581,0.7007620126008991,4.693877220153809,5.943508602967995e-07,2.8823051261901855
19,33.33975084304809,0.6264340382814407,4.608122301101685,5.537232829055938e-07,2.721606354713439
20,34.28955978393553,0.6918741905689237,4.693967406749727,6.420145263064113e-07,2.919211664199829
