episode,avg_throughput,avg_fairness,avg_se,avg_pe,avg_su,avg_reward,min_reward,max_reward
0,33.15292539596558,0.35809753884871803,4.625745991865793,5.73680219417838e-07,2.888912896315258,2.898405,2.2791405,3.325748
1,32.36845048268637,0.3437101965149244,4.543298538525899,5.571231033248599e-07,2.9458647886912033,2.8912125,2.2186491,3.3456519
2,36.777303504943845,0.3536012440919876,5.0009917100270584,5.198852439510424e-07,3.1358349879582734,3.136838,2.1453638,3.521626
3,31.7316687266032,0.34826922416687006,4.481434810161591,5.139466206098101e-07,2.9698443333307916,2.932463,2.154319,3.4489193
4,27.550494194030758,0.36098160942395535,4.005686887105306,4.992485704254554e-07,2.314853588740031,2.7175324,2.1059494,3.1036396
5,32.54146855672201,0.34679895242055253,4.557378792762757,5.001748509888178e-07,2.944368521372478,2.9785705,2.124195,3.4739327
6,32.921878814697266,0.35824034214019773,4.602391401926674,5.585282650599765e-07,2.960845593611401,2.9239964,2.0946128,3.4597323
7,33.78901500701905,0.3738302886486054,4.690861745675404,5.693881860224792e-07,3.053242643674216,2.9677384,2.3062778,3.4245377
8,34.62809689839683,0.3579196880261103,4.7720558087031035,5.547362367982108e-07,2.955657116572063,2.9855535,2.1825323,3.4165206
9,35.01457767486573,0.3777567674716314,4.819551213582357,5.15028247605187e-07,3.059056607882183,3.09488,2.1899445,3.5156584
10,33.85358028411865,0.30988981376091645,4.684746106465657,6.03078472257342e-07,2.998342935244243,2.8624563,2.4009755,3.2806187
11,32.964550526936854,0.3267362276713054,4.557520993550618,6.206072138562984e-07,2.890804481506348,2.800853,2.1288054,3.4311414
12,31.90301952362061,0.366691344976425,4.4945243398348484,5.19527530210932e-07,2.9055351535479232,2.9387593,2.262261,3.4288278
13,30.970236968994136,0.33490098516146344,4.335567224025727,5.123996658085161e-07,2.752756456534068,2.8544996,2.0173674,3.4235246
